iter	Passed	Remaining
0	38562	385585511
1	52524	262569430
2	67142	223740414
3	80059	200067557
4	94439	188783900
5	109114	181747608
6	123836	176785613
7	140024	174890978
8	153743	170672017
9	168265	168097624
10	181566	164879128
11	196009	163145137
12	211738	162664360
13	226826	161792258
14	241949	161057768
15	256295	159928600
16	270774	159008441
17	286969	159140806
18	301896	158591076
19	318621	158992351
20	334243	158829324
21	349396	158466979
22	365035	158345850
23	381691	158656312
24	399018	159208193
25	415507	159394895
26	431924	159540215
27	447763	159467921
28	464618	159748765
29	481087	159881312
30	497708	160053327
31	516173	160788072
32	532409	160803658
33	548241	160699237
34	564126	160614928
35	580483	160664969
36	595914	160461959
37	611736	160371623
38	627787	160343254
39	643549	160243838
40	660195	160363011
41	676825	160472022
42	692341	160317257
43	708546	160324672
44	724069	160180350
45	739487	160018698
46	755327	159952628
47	771050	159864439
48	787317	159889731
49	802754	159748143
50	817687	159513194
51	832624	159287549
52	847021	158968365
53	862945	158941774
54	879422	159015575
55	896681	159225008
56	912038	159094739
57	926677	158845339
58	943401	158955238
59	958298	158758143
60	975906	159008807
61	993988	159326729
62	1009067	159160371
63	1023926	158964557
64	1040159	158984344
65	1057468	159165006
66	1073764	159189565
67	1088117	158929207
68	1104669	158992360
69	1120311	158924242
70	1137580	159085062
71	1154153	159145007
72	1171345	159286930
73	1186865	159200315
74	1201937	159056391
75	1216025	158787268
76	1231673	158725983
77	1247128	158641118
78	1263453	158667396
79	1277547	158415828
80	1293086	158347213
81	1308402	158252887
82	1324472	158250501
83	1339552	158130952
84	1356030	158176928
85	1370883	158034172
86	1387151	158055597
87	1402105	157928057
88	1418598	157974449
89	1433880	157886195
90	1449723	157860504
91	1464138	157681382
92	1479884	157647473
93	1494919	157539042
94	1510402	157479305
95	1526889	157524118
96	1544202	157651943
97	1558804	157502888
98	1574158	157431716
99	1590312	157440978
100	1605850	157389292
101	1620843	157285358
102	1635462	157147352
103	1651524	157148914
104	1667251	157118641
105	1682269	157022433
106	1698655	157054188
107	1713899	156980522
108	1729988	156984540
109	1744552	156851127
110	1759685	156770512
111	1775913	156787770
112	1791755	156770662
113	1807503	156745477
114	1824655	156841049
115	1839479	156736307
116	1856067	156782190
117	1872727	156832980
118	1888421	156802454
119	1905371	156875584
120	1922180	156935685
121	1936127	156762867
122	1951546	156710734
123	1967181	156676497
124	1981797	156561989
125	1997992	156572870
126	2015811	156709467
127	2030759	156622321
128	2046206	156574443
129	2062472	156589257
130	2079059	156627748
131	2095252	156635963
132	2111893	156677096
133	2127666	156653389
134	2143877	156661844
135	2159031	156593277
136	2174184	156525432
137	2189609	156477762
138	2206276	156518677
139	2221488	156456241
140	2236903	156408711
141	2251745	156321899
142	2266164	156206850
143	2282535	156226861
144	2297836	156173640
145	2312183	156056547
146	2326649	155948815
147	2343413	155995341
148	2357460	155861393
149	2372463	155791786
150	2387383	155717457
151	2403410	155715704
152	2418875	155677562
153	2432907	155548099
154	2447314	155443930
155	2462642	155399028
156	2479103	155425559
157	2494556	155388783
158	2510625	155390361
159	2525128	155295429
160	2540181	155235046
161	2556644	155260906
162	2570863	155150830
163	2585818	155086030
164	2601458	155062715
165	2616346	154994882
166	2631475	154941917
167	2647848	154962195
168	2663601	154945941
169	2679358	154929940
170	2693865	154842156
171	2709359	154811539
172	2725827	154836428
173	2742479	154871285
174	2758091	154847153
175	2771800	154716872
176	2786597	154648303
177	2800158	154512094
178	2815108	154453549
179	2829012	154338338
180	2845461	154362340
181	2860275	154297697
182	2874171	154184396
183	2888620	154101648
184	2904174	154078246
185	2920636	154102813
186	2936393	154090004
187	2952792	154110654
188	2968692	154104968
189	2982306	153981199
190	2997393	153934216
191	3013327	153930796
192	3028228	153874796
193	3044508	153888902
194	3058809	153803220
195	3074604	153792960
196	3089280	153727010
197	3105251	153725640
198	3121590	153742263
199	3139222	153821891
200	3154083	153765517
201	3171590	153837845
202	3186298	153774200
203	3199664	153646629
204	3216369	153679720
205	3232601	153689785
206	3249150	153714654
207	3265631	153735885
208	3280624	153687032
209	3295626	153638956
210	3311046	153610575
211	3326706	153593412
212	3342609	153587422
213	3356672	153497167
214	3371597	153446877
215	3385603	153355307
216	3401509	153350068
217	3418110	153375963
218	3433272	153337180
219	3448065	153282180
220	3463264	153245526
221	3479730	153264884
222	3495913	153271516
223	3511048	153232190
224	3527167	153235827
225	3542292	153196299
226	3557970	153180812
227	3573988	153179871
228	3591507	153242870
229	3606663	153204809
230	3621425	153150239
231	3636485	153108569
232	3651579	153068569
233	3667244	153052599
234	3684233	153091678
235	3699680	153066433
236	3716761	153108613
237	3732755	153105692
238	3749287	153124661
239	3764586	153093169
240	3779716	153055009
241	3794739	153012671
242	3809369	152954804
243	3824725	152926330
244	3840307	152906950
245	3857126	152936647
246	3873588	152951864
247	3889259	152935719
248	3904314	152895481
249	3920248	152889676
250	3936741	152905567
251	3954155	152956773
252	3970331	152959775
253	3985304	152916461
254	4000426	152879028
255	4015892	152854912
256	4033074	152895882
257	4048933	152886457
258	4063446	152826371
259	4079733	152833097
260	4095704	152827836
261	4110987	152796919
262	4127006	152793376
263	4142784	152780886
264	4157742	152738190
265	4172595	152691902
266	4189065	152704790
267	4203946	152659718
268	4222105	152733489
269	4237840	152719224
270	4253404	152698776
271	4268079	152646613
272	4284046	152640722
273	4301772	152697233
274	4316865	152660047
275	4331543	152608426
276	4345282	152524129
277	4359310	152450406
278	4376149	152475075
279	4392465	152481290
280	4407508	152443328
281	4424047	152457084
282	4439161	152421684
283	4454513	152394558
